Activity type,Duration,From,To,Comment
Eat,1,11/16/18 6:13,11/16/18 7:14,
Sleep,8,11/15/18 22:13,11/16/18 6:13,
Internet,1,11/15/18 21:13,11/15/18 22:13,
Work,2.1,11/15/18 19:04,11/15/18 21:13,
Chat,0.6,11/15/18 18:30,11/15/18 19:04,
Sleep,1.4,11/15/18 17:08,11/15/18 18:30,
Eat,2,11/15/18 15:08,11/15/18 17:08,
Transport,1,11/15/18 14:08,11/15/18 15:08,
Meetings ,2.4,11/15/18 11:43,11/15/18 14:08,
Eat,0.6,11/15/18 11:07,11/15/18 11:43,
Work,3.7,11/15/18 7:28,11/15/18 11:07,
Sleep,0.8,11/15/18 6:40,11/15/18 7:28,
Work,0,11/15/18 6:39,11/15/18 6:40,
Eat,1,11/15/18 5:39,11/15/18 6:39,
Sleep,6.5,11/14/18 23:10,11/15/18 5:39,
Internet,1.3,11/14/18 21:54,11/14/18 23:10,
Internet,1,11/14/18 20:53,11/14/18 21:54,
Study,1.8,11/14/18 19:02,11/14/18 20:53,
Study,0.4,11/14/18 18:37,11/14/18 19:02,
Eat,0.9,11/14/18 17:44,11/14/18 18:37,
Sport,0.3,11/14/18 17:28,11/14/18 17:44,
Study,1,11/14/18 16:30,11/14/18 17:28,
Sleep,2,11/14/18 14:29,11/14/18 16:30,
Study,0.9,11/14/18 13:33,11/14/18 14:29,
Study,0.7,11/14/18 12:52,11/14/18 13:33,
Sport,0.4,11/14/18 12:31,11/14/18 12:52,
Eat,0.7,11/14/18 11:47,11/14/18 12:30,
Study,2.1,11/14/18 9:40,11/14/18 11:47,
Sport,0.3,11/14/18 9:24,11/14/18 9:39,
Study,0.8,11/14/18 8:36,11/14/18 9:24,
Eat,0.9,11/14/18 7:45,11/14/18 8:36,
Sport,0.4,11/14/18 7:19,11/14/18 7:45,
Internet,0.4,11/14/18 6:54,11/14/18 7:19,
Sleep,8,11/13/18 22:54,11/14/18 6:54,
Internet,1,11/13/18 21:53,11/13/18 22:54,
Chat,1,11/13/18 20:53,11/13/18 21:53,
Study,4.4,11/13/18 16:32,11/13/18 20:53,
Eat,1.1,11/13/18 15:27,11/13/18 16:32,
Study,1.2,11/13/18 14:17,11/13/18 15:27,
Sleep,2,11/13/18 12:17,11/13/18 14:17,
Internet,3,11/13/18 9:17,11/13/18 12:17,
Eat,2,11/13/18 7:17,11/13/18 9:17,
Sleep,7.9,11/12/18 23:23,11/13/18 7:17,
Housework,6,11/12/18 17:23,11/12/18 23:23,
Eat,2,11/12/18 15:23,11/12/18 17:23,
Meetings ,1.1,11/12/18 14:15,11/12/18 15:23,
Work,5,11/12/18 9:15,11/12/18 14:15,
Internet,0.8,11/12/18 8:25,11/12/18 9:15,
Eat,1.3,11/12/18 7:05,11/12/18 8:25,
Sleep,7.3,11/11/18 23:45,11/12/18 7:05,
Work,1.8,11/11/18 21:56,11/11/18 23:45,
Shower,0.9,11/11/18 21:03,11/11/18 21:56,
Scheduling,2.3,11/11/18 18:43,11/11/18 21:02,
Internet,1.5,11/11/18 17:11,11/11/18 18:42,
Eat,1,11/11/18 16:11,11/11/18 17:11,
Work,2,11/11/18 14:10,11/11/18 16:11,
Sport,0.4,11/11/18 13:45,11/11/18 14:10,
Sport,0.3,11/11/18 13:27,11/11/18 13:44,
Work,0.5,11/11/18 12:58,11/11/18 13:27,
Sport,0.6,11/11/18 12:24,11/11/18 12:58,
Work,1,11/11/18 11:25,11/11/18 12:24,
Eat,1,11/11/18 10:23,11/11/18 11:25,
Work,3,11/11/18 7:23,11/11/18 10:23,
Sleep,8,11/10/18 23:23,11/11/18 7:23,
Video,0.3,11/9/18 7:41,11/9/18 8:02,
Eat,1,11/9/18 6:39,11/9/18 7:39,
Sleep,9,11/8/18 21:37,11/9/18 6:39,
Chat,1,11/8/18 20:37,11/8/18 21:37,
Internet,2.6,11/8/18 17:58,11/8/18 20:37,
Eat,0.5,11/8/18 17:27,11/8/18 17:58,
Shop,1,11/8/18 16:25,11/8/18 17:27,
Internet,1.7,11/8/18 14:42,11/8/18 16:21,
Chat,1,11/8/18 13:42,11/8/18 14:42,
Meetings ,1.2,11/8/18 12:30,11/8/18 13:42,
Transport,0.5,11/8/18 12:01,11/8/18 12:30,
Eat,0.3,11/8/18 11:41,11/8/18 12:01,
Work,2.2,11/8/18 9:31,11/8/18 11:41,
Games,1,11/8/18 8:32,11/8/18 9:30,
Eat,0.5,11/8/18 8:03,11/8/18 8:32,
Eat,0.4,11/8/18 7:40,11/8/18 8:03,
Sleep,8,11/7/18 23:38,11/8/18 7:40,
Games,0.6,11/7/18 23:05,11/7/18 23:38,
Study,0.6,11/7/18 22:30,11/7/18 23:05,
Internet,1.5,11/7/18 21:00,11/7/18 22:29,
Job applications ,1.7,11/7/18 19:18,11/7/18 21:00,
Meetings ,1,11/7/18 18:18,11/7/18 19:18,
Chat,0.4,11/7/18 17:56,11/7/18 18:18,
Job applications ,0.7,11/7/18 17:15,11/7/18 17:56,
Job applications ,0.2,11/7/18 17:03,11/7/18 17:14,
Eat,0.3,11/7/18 16:45,11/7/18 17:01,
Eat,0.6,11/7/18 16:03,11/7/18 16:38,
Work,1.3,11/7/18 14:46,11/7/18 16:03,
Internet,3,11/7/18 11:44,11/7/18 14:46,
Study,2,11/7/18 9:44,11/7/18 11:44,
Games,3,11/7/18 6:44,11/7/18 9:44,
Sleep,7,11/6/18 23:43,11/7/18 6:44,
Sport,0.8,10/27/18 18:00,10/27/18 18:46,
Eat,0.3,10/27/18 17:40,10/27/18 18:00,
Chat,1,10/27/18 16:40,10/27/18 17:40,
Study,3,10/27/18 13:40,10/27/18 16:40,
Eat,1.1,10/27/18 12:33,10/27/18 13:40,
Games,0.8,10/27/18 11:46,10/27/18 12:33,
Work,4.7,10/27/18 7:06,10/27/18 11:45,
Sleep,6,10/27/18 1:05,10/27/18 7:06,
Games,1.9,10/26/18 23:10,10/27/18 1:05,
Study,2,10/26/18 21:09,10/26/18 23:07,
Meetings ,2,10/26/18 16:09,10/26/18 18:09,
Study,6.9,10/26/18 9:13,10/26/18 16:09,
Games,2,10/26/18 7:12,10/26/18 9:13,
Sleep,7.1,10/26/18 0:05,10/26/18 7:12,
Scheduling,1,10/10/18 14:37,10/10/18 15:37,
Sleep,1.4,10/10/18 13:15,10/10/18 14:37,
Games,0.4,10/10/18 12:53,10/10/18 13:15,
Eat,0.2,10/10/18 12:32,10/10/18 12:44,
Work,3.1,10/10/18 9:29,10/10/18 12:32,
Sleep,7.9,10/10/18 1:04,10/10/18 8:59,
Work,4.4,10/9/18 20:39,10/10/18 1:04,
Sport,0.4,10/9/18 20:08,10/9/18 20:30,
Sport,0.4,10/9/18 19:43,10/9/18 20:07,
Work,1.8,10/9/18 17:58,10/9/18 19:43,
Eat,0.3,10/9/18 17:40,10/9/18 17:58,
Internet,1,10/9/18 16:40,10/9/18 17:40,
Work,2.9,10/9/18 13:46,10/9/18 16:40,
Eat,1,10/9/18 12:44,10/9/18 13:46,
Eat,1,10/9/18 11:43,10/9/18 12:44,
Work,1.1,10/9/18 10:36,10/9/18 11:43,
Work,1.3,10/9/18 9:20,10/9/18 10:36,
Eat,0.8,10/9/18 8:33,10/9/18 9:20,
Sleep,6.6,10/9/18 1:55,10/9/18 8:33,
Sleep,4.7,10/6/18 0:51,10/6/18 5:32,
Scheduling,1,10/5/18 18:30,10/5/18 19:30,
Eat,1.5,10/5/18 16:59,10/5/18 18:30,
Study,4,10/5/18 12:59,10/5/18 16:59,
Eat,2,10/5/18 10:59,10/5/18 12:59,
Study,1.3,10/5/18 9:41,10/5/18 10:59,
Eat,0.6,10/5/18 9:08,10/5/18 9:41,
Internet,0.3,10/5/18 8:52,10/5/18 9:08,
Sleep,8.2,10/5/18 0:38,10/5/18 8:52,
Eat,1.4,10/4/18 17:11,10/4/18 18:37,
Work,3.3,10/4/18 13:51,10/4/18 17:11,
Study,3.2,10/4/18 10:38,10/4/18 13:51,
Eat,1,10/4/18 9:36,10/4/18 10:38,
Sleep,9,10/4/18 0:34,10/4/18 9:36,
Study,3,10/3/18 21:33,10/4/18 0:34,
Meetings ,4,10/3/18 17:32,10/3/18 21:32,
Work,2.5,10/3/18 15:02,10/3/18 17:32,
Internet,2,10/3/18 13:03,10/3/18 15:02,
Eat,1.2,10/3/18 11:52,10/3/18 13:02,
Housework,0.7,10/3/18 11:07,10/3/18 11:52,
Housework,1,10/3/18 10:07,10/3/18 11:07,
Eat,1.2,10/3/18 8:52,10/3/18 10:07,
Sport,0.2,10/3/18 8:39,10/3/18 8:52,
Sleep,7.8,10/3/18 0:49,10/3/18 8:39,
Internet,0.7,10/3/18 0:09,10/3/18 0:49,
Study,1.8,10/2/18 19:23,10/2/18 21:13,
